Number of Reads,122569529
Reads With Valid Barcodes,1
Sequencing Saturation,0.880212
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.625017
Reads Mapped to Genome: Unique+Multiple,0.776603
Reads Mapped to Genome: Unique,0.722135
Reads Mapped to Gene: Unique+Multipe Gene,0.291677
Reads Mapped to Gene: Unique Gene,0.287424
Estimated Number of Cells,1744
Unique Reads in Cells Mapped to Gene,15084176
Fraction of Unique Reads in Cells,0.42817
Mean Reads per Cell,8649
Median Reads per Cell,6638
UMIs in Cells,1097365
Mean UMI per Cell,629
Median UMI per Cell,505
Mean Gene per Cell,467
Median Gene per Cell,393
Total Gene Detected,19284
