Number of Reads,159403073
Reads With Valid Barcodes,1
Sequencing Saturation,0.875682
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.672669
Reads Mapped to Genome: Unique+Multiple,0.793205
Reads Mapped to Genome: Unique,0.738044
Reads Mapped to Gene: Unique+Multipe Gene,0.256301
Reads Mapped to Gene: Unique Gene,0.253151
Estimated Number of Cells,1577
Unique Reads in Cells Mapped to Gene,14857634
Fraction of Unique Reads in Cells,0.368191
Mean Reads per Cell,9421
Median Reads per Cell,7592
UMIs in Cells,1202725
Mean UMI per Cell,762
Median UMI per Cell,631
Mean Gene per Cell,559
Median Gene per Cell,486
Total Gene Detected,19478
