Number of Reads,14201725
Reads With Valid Barcodes,1
Sequencing Saturation,0.708596
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.843588
Reads Mapped to Genome: Unique+Multiple,0.901415
Reads Mapped to Genome: Unique,0.841644
Reads Mapped to Gene: Unique+Multipe Gene,0.394677
Reads Mapped to Gene: Unique Gene,0.387107
Estimated Number of Cells,3915
Unique Reads in Cells Mapped to Gene,2889684
Fraction of Unique Reads in Cells,0.525627
Mean Reads per Cell,738
Median Reads per Cell,541
UMIs in Cells,725531
Mean UMI per Cell,185
Median UMI per Cell,140
Mean Gene per Cell,162
Median Gene per Cell,127
Total Gene Detected,15605
