Number of Reads,175836308
Reads With Valid Barcodes,1
Sequencing Saturation,0.848801
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.668841
Reads Mapped to Genome: Unique+Multiple,0.811371
Reads Mapped to Genome: Unique,0.757514
Reads Mapped to Gene: Unique+Multipe Gene,0.275238
Reads Mapped to Gene: Unique Gene,0.271581
Estimated Number of Cells,3096
Unique Reads in Cells Mapped to Gene,15881413
Fraction of Unique Reads in Cells,0.332568
Mean Reads per Cell,5129
Median Reads per Cell,3278
UMIs in Cells,1494913
Mean UMI per Cell,482
Median UMI per Cell,330
Mean Gene per Cell,366
Median Gene per Cell,265
Total Gene Detected,19599
